date,division,net_income,depreciation_add_back,change_in_ar,change_in_ap,change_in_inventory,other_operating,operating_cash_flow,capex,acquisitions,investing_cash_flow,debt_issuance,debt_repayment,dividends,financing_cash_flow,net_cash_flow
08/31/2024,Division A,772345.3,247766.41,-290276.4,200132.29,13065.55,3833.3,1501288.15,-412320.91,0.0,-412320.91,0.0,-166666.67,0.0,-166666.67,922300.57
12/31/2023,Cloud Infrastructure,837357.87,329014.79,752371.92,2260.96,872.0,-17487.98,397901.72,-1009219.81,0.0,-1009219.81,0.0,-83333.33,-209339.47,-292672.8,-903990.89
02/28/2023,Professional Services,570127.07,90412.78,-259446.22,-137131.91,-0.0,9805.15,792659.31,-139057.09,0.0,-139057.09,0.0,-83333.33,0.0,-83333.33,570268.89
05/31/2024,Division B,768742.85,109213.55,-1384609.7,-390598.21,-0.0,-11883.04,1860084.85,-163332.79,0.0,-163332.79,0.0,-83333.33,0.0,-83333.33,1613418.73
02/29/2024,Enterprise Software,1027026.49,220364.2,-155687.14,175730.68,13515.79,-4542.61,1560750.11,-375497.63,0.0,-375497.63,0.0,-166666.67,0.0,-166666.67,1018585.81
06/30/2023,Cloud Infrastructure,695159.64,264948.89,73131.43,-111684.22,-35500.19,15121.05,825914.12,-753182.34,0.0,-753182.34,0.0,-83333.33,,-257123.24,-184391.46
04/30/2023,Div A,1033806.09,232313.24,282880.47,374205.28,22070.6,13210.08,1348583.62,-375009.84,0.0,-375009.84,0.0,-166666.67,0.0,-166666.67,806907.11
06/30/2024,Enterprise Software,2215405.87,312224.37,5257472.48,563680.09,33729.06,16035.11,-2183856.1,-518178.02,0.0,-518178.02,0.0,-166666.67,-553851.47,-720518.14,-3422552.26
03/31/2024,Div B,792451.67,108729.05,244369.77,-106232.02,-0.0,26678.59,577257.52,-173877.66,0.0,-173877.66,0.0,-83333.33,-198112.92,-281446.25,121933.61
09/30/2023,Division A,953082.95,241348.54,487642.18,684626.46,46490.69,10920.92,1355846.0,-403505.91,,-4764279.04,,-166666.67,-238270.74,-404937.41,-3813370.45
11/30/2023,Division C,550636.36,280157.74,-19748.96,243218.6,109972.02,678.92,984468.56,-817708.42,0.0,-817708.42,0.0,-83333.33,0.0,-83333.33,83426.81
07/31/2023,Enterprise Software,874311.82,229751.33,-1012130.52,-118593.55,-9330.74,-1721.53,2005209.33,-361836.44,0.0,-361836.44,0.0,-166666.67,0.0,-166666.67,1476706.22
01/31/2024,Professional Services,922746.6,100243.19,-1001215.22,-662426.31,-0.0,-3273.14,1358505.56,-157348.28,,-157348.28,0.0,-83333.33,,-83333.33,1117823.95
08/31/2024,Div C,484426.65,300193.22,338767.26,304262.93,96733.8,7756.73,661138.47,-877317.8,0.0,-877317.8,0.0,-83333.33,0.0,-83333.33,-299512.66
07/31/2023,Cloud Infrastructure,525143.66,263821.44,82378.05,278977.83,82713.9,8735.51,911586.49,-706127.95,0.0,-706127.95,0.0,-83333.33,0.0,-83333.33,122125.21
11/30/2024,div_b,917961.65,119050.44,595606.22,29043.8,0.0,18643.46,489093.13,-181171.46,0.0,-181171.46,0.0,-83333.33,0.0,-83333.33,224588.34
12/31/2024,div_c,614889.05,325734.39,399316.54,480360.35,193971.64,1005.39,828701.0,-888775.7,0.0,-888775.7,0.0,-83333.33,-153722.26,-237055.59,-297130.29
04/30/2024,Division A,1644174.97,269341.01,2531766.12,-166533.73,-12523.3,-1801.8,-774062.37,-447697.23,0.0,-447697.23,0.0,-166666.67,0.0,-166666.67,-1388426.27
04/30/2023,Div B,732242.39,92627.71,7424.58,-63013.44,-0.0,-9099.23,745332.85,-136293.58,0.0,-136293.58,0.0,-83333.33,0.0,-83333.33,525705.94
06/30/2024,Professional Services,843127.04,113518.21,2071.9,-162491.29,-0.0,23822.65,815904.71,-157021.42,,-157021.42,0.0,-83333.33,-210781.76,-294115.09,364768.2
03/31/2023,Professional Services,604157.0,92807.41,129811.03,145327.92,0.0,-506.53,711974.77,-153758.95,0.0,-153758.95,0.0,-83333.33,-151039.25,-234372.58,323843.24
01/31/2023,Cloud Infrastructure,468006.32,217722.56,0.0,0.0,0.0,6784.23,692513.11,-635904.38,0.0,-635904.38,0.0,-83333.33,,-83333.33,-26724.6
01/31/2023,Div B,745528.2,96773.5,0.0,0.0,0.0,-20532.97,821768.73,-146393.31,0.0,-146393.31,0.0,-83333.33,0.0,-83333.33,592042.09
03/31/2024,Div C,595461.29,275071.51,70559.5,236064.45,97391.58,,931973.02,-731450.77,0.0,-731450.77,0.0,-83333.33,-148865.32,-232198.65,-31676.4
07/31/2024,Division C,552626.05,290256.87,270340.89,115378.72,29494.56,,636423.41,-811790.09,,-811790.09,0.0,-83333.33,0.0,-83333.33,-258700.01
12/31/2023,Enterprise Software,1355162.87,291444.19,3429603.9,523653.65,32841.79,-9020.38,-1301205.36,-508667.98,0.0,-508667.98,0.0,-166666.67,-338790.72,-505457.39,-2315330.73
09/30/2023,Professional Services,870780.98,108307.47,-152709.42,-65343.11,-0.0,18551.16,1085005.92,-159990.24,0.0,-159990.24,0.0,-83333.33,-217695.24,-301028.57,623987.11
10/31/2024,Div C,877718.07,317028.75,11015.48,-358025.24,-135787.26,-21252.58,940240.78,-847624.72,,-847624.72,0.0,-83333.33,0.0,-83333.33,9282.73
05/31/2024,Division C,418479.79,301193.86,443028.89,575416.23,136972.6,16341.53,731429.92,-846026.97,0.0,-846026.97,0.0,-83333.33,0.0,-83333.33,-197930.38
02/29/2024,Division B,512883.21,98789.49,159266.7,543432.59,0.0,-2281.48,993557.11,-154727.56,0.0,-154727.56,0.0,-83333.33,0.0,-83333.33,755496.22
06/30/2023,Div B,687967.26,112627.62,1094650.39,460893.6,0.0,-5227.55,161610.54,-161781.76,0.0,-161781.76,0.0,-83333.33,-171991.82,-255325.15,-255496.37
08/31/2024,Division B,798637.96,106342.17,-351028.26,-346646.03,-0.0,4594.72,913957.08,-155542.55,0.0,-155542.55,0.0,-83333.33,0.0,-83333.33,675081.2
09/30/2024,Cloud Infrastructure,619538.9,328543.87,214034.94,44348.29,15497.45,8731.88,771630.55,-886743.09,0.0,-886743.09,,-83333.33,-154884.73,-238218.06,-353330.6
02/28/2023,Division A,767487.41,190196.91,-1833271.32,-238806.65,-17052.88,,2570815.8,-310623.88,0.0,-310623.88,,-166666.67,0.0,-166666.67,2093525.25
05/31/2023,Cloud Infrastructure,483866.41,249492.49,-36394.22,261879.44,73960.08,-2860.55,954811.93,-774248.19,0.0,-774248.19,0.0,-83333.33,0.0,-83333.33,97230.41
10/31/2024,Division A,1137539.53,286423.2,1708270.96,402120.18,20588.45,,84969.13,-456686.62,0.0,-456686.62,0.0,-166666.67,0.0,-166666.67,-538384.16
03/31/2023,Div A,1099979.59,223968.53,2002627.52,221038.07,16205.36,973.63,-472873.06,-389403.25,0.0,-389403.25,,-166666.67,-274994.9,-441661.57,-1303937.88
12/31/2024,Division A,1561321.11,333414.41,3394227.58,995722.14,85197.72,8976.86,-579990.78,-514751.5,0.0,-514751.5,0.0,-166666.67,-390330.28,-556996.95,-1651739.23
09/30/2024,Division A,1190583.77,275561.75,1245272.53,170618.24,13941.67,3876.49,381426.05,-470454.3,0.0,-470454.3,0.0,-166666.67,,-464312.61,-553340.86
01/31/2024,Cloud Infrastructure,363227.07,253666.73,-1463512.56,-670528.64,-265977.99,9033.38,1684889.09,-726998.96,0.0,-726998.96,10000000.0,-83333.33,0.0,9916666.67,10874556.8
03/31/2024,Div A,913859.29,245889.37,1228303.87,626030.39,38151.8,7771.5,527094.88,-389606.24,,-389606.24,0.0,-166666.67,,-395131.49,-257642.85
04/30/2023,Division C,734288.35,255588.74,524138.29,-10990.71,-4662.97,,474304.49,-676673.73,0.0,-676673.73,0.0,-83333.33,0.0,-83333.33,-285702.57
