date,division,revenue,cogs,gross_profit,gross_margin_pct,rd_expense,sga_expense,total_opex,ebitda,ebitda_margin_pct,depreciation,ebit,interest_expense,pretax_income
2023-06-30,Enterprise Software,8107008.52,2970832.18,5136176.34,,1455935.95,1738588.25,3194524.2,1941652.14,23.95,241205.03,1700447.11,83707.27,1616739.84
2024-11-30,Enterprise Software,9737270.59,3602230.04,6135040.55,63.01,1822702.46,,4152164.23,1982876.32,20.36,293328.68,1689547.64,92555.01,1596992.63
2023-10-31,div_c,4832931.7,1967865.11,2865066.59,59.28,728316.21,876045.06,1604361.27,1260705.32,26.09,290759.83,969945.49,55491.69,914453.8
2023-03-31,Div C,4172986.05,1665325.17,2507660.88,60.09,,769795.48,1401239.12,1106421.76,,249636.61,856785.15,50242.45,806542.7
2023-10-31,Division B,5448034.35,2888105.23,2559929.12,46.99,265761.58,1060901.64,1326663.22,1233265.9,22.64,108596.62,1124669.28,,1079089.06
2024-04-30,Professional Services,5489336.17,2970239.95,2519096.22,45.89,266413.7,1167996.15,1434409.85,1084686.37,,108373.3,976313.07,41506.44,934806.63
2024-11-30,Division C,5514025.76,2324564.6,3189461.16,57.84,796816.88,1020165.37,1816982.25,1372478.91,24.89,328839.95,1043638.96,64401.95,979237.01
2024-05-31,div_a,8419694.46,3068214.63,5351479.83,63.56,1504746.32,1893316.51,3398062.83,1953417.0,23.2,250232.6,1703184.4,83332.08,1619852.32
2023-12-31,Div B,6138826.95,3203571.82,2935255.13,47.81,,1219520.01,1522189.09,1413066.04,23.02,,1289991.77,49544.2,1240447.57
2024-09-30,Professional Services,5795644.46,3020501.18,2775143.28,47.88,301913.48,1213840.53,1515754.01,1259389.27,21.73,116360.14,1143029.13,44596.19,1098432.94
2024-02-29,Division C,4117847.53,1650223.06,2467624.47,59.93,612022.92,743611.43,1355634.35,1111990.12,,250306.37,861683.75,45455.45,816228.3
2023-08-31,Enterprise Software,7973351.34,3008479.84,4964871.5,,1454690.82,1757693.58,3212384.4,1752487.1,21.98,239892.12,1512594.98,82250.25,1430344.73
2023-09-30,Division C,4619059.16,2027670.58,2591388.58,56.1,,840618.54,1553929.9,1037458.68,22.46,279489.8,757968.88,53846.38,704122.5
2024-07-31,Professional Services,5326569.83,2785040.1,2541529.73,47.71,264909.56,1072733.98,1337643.54,1203886.19,22.6,105939.8,1097946.39,43617.23,1054329.16
2023-07-31,Professional Services,4955223.83,2658070.81,2297153.02,46.36,255941.91,1042291.66,1298233.57,998919.45,20.16,,899992.88,38882.28,861110.6
2024-12-31,Division B,6354398.67,3323501.29,3030897.38,47.7,,1326982.41,1645671.79,1385225.59,21.8,123826.06,1261399.53,50233.17,1211166.36
2023-02-28,Div C,3788208.2,1606251.32,2181956.88,57.6,583005.75,,1276802.21,905154.67,23.89,231229.91,673924.76,48134.67,625790.09
2024-08-31,Enterprise Software,8957960.74,3429754.74,5528206.0,61.71,1579426.51,1981350.59,3560777.1,1967428.9,21.96,269330.04,1698098.86,95667.38,1602431.48
2023-12-31,Div C,5407646.86,2319464.43,3088182.43,,797807.72,979284.04,1777091.76,1311090.67,24.25,327198.49,983892.18,64928.84,918963.34
2023-02-28,Div B,4921503.05,2588669.0,2332834.05,47.4,240243.45,955801.66,1196045.11,1136788.94,23.1,97716.22,1039072.72,43562.13,995510.59
2024-05-31,Division B,5962547.54,2892665.51,3069882.03,51.49,291141.86,1179335.3,1470477.16,1599404.87,26.82,119658.26,1479746.61,51823.36,1427923.25
2024-02-29,Enterprise Software,7402692.88,2846933.96,4555758.92,61.54,1300615.96,1652384.82,2953000.78,1602758.14,21.65,221038.33,1381719.81,74073.17,1307646.64
2023-06-30,Cloud Infrastructure,4429226.24,1779952.15,2649274.09,59.81,672855.28,780543.83,1453399.11,1195874.98,,263059.58,932815.4,53237.83,879577.57
2023-04-30,Enterprise Software,7882931.89,3010131.86,4872800.03,61.81,1406772.42,1715924.44,3122696.86,1750103.17,22.2,237746.8,1512356.37,80269.7,1432086.67
2024-06-30,Div A,8506356.53,3267022.72,5239333.81,61.59,1556876.83,1774423.29,3331300.12,1908033.69,,256299.3,1651734.39,86074.7,1565659.69
2024-03-31,Division B,5255123.88,2868075.66,2387048.22,45.42,261901.36,1017526.06,1279427.42,1107620.8,21.08,104546.02,1003074.78,40197.79,962876.99
2023-09-30,Div A,7871927.81,3021529.71,4850398.1,61.62,1403617.14,1698631.4,3102248.54,1748149.56,22.21,235508.06,1512641.5,84603.31,1428038.19
2023-11-30,Div C,4832626.71,2038548.23,2794078.48,57.82,730452.4,,1626416.81,1167661.67,24.16,286888.3,880773.37,57629.05,823144.32
2023-07-31,Enterprise Software,8121875.57,3033375.54,5088500.03,62.65,1442478.93,,3241736.42,1846763.61,22.74,243940.58,1602823.03,82106.84,1520716.19
2024-01-31,Div B,4806382.8,2494099.91,2312282.89,48.11,241416.09,1033876.22,1275292.31,1036990.58,21.58,,939058.76,36810.66,902248.1
2024-08-31,Division C,5097689.72,2158456.69,2939233.03,,767678.28,947567.61,1715245.89,1223987.14,24.01,309922.26,914064.88,60960.81,853104.07
2023-07-31,Cloud Infrastructure,4333622.73,1855023.17,2478599.56,57.19,654099.8,807088.2,1461188.0,1017411.56,23.48,261600.25,755811.31,46045.72,709765.59
2024-11-30,Division B,6127971.86,3268201.62,2859770.24,46.67,303509.1,1235290.68,1538799.78,1320970.46,21.56,122623.74,1198346.72,48307.61,1150039.11
2023-06-30,Cloud Infrastructure,4429226.24,1779952.15,2649274.09,59.81,672855.28,780543.83,1453399.11,1195874.98,,263059.58,932815.4,53237.83,879577.57
2024-04-30,Division A,7941039.89,3155494.09,4785545.8,60.26,1391574.18,1694762.21,3086336.39,1699209.41,21.4,239183.58,1460025.83,75815.18,1384210.65
2023-04-30,Div B,5090899.57,2687269.28,2403630.29,47.21,256815.89,1004282.26,1261098.15,1142532.14,22.44,100570.1,1041962.04,38124.86,1003837.18
2024-06-30,Professional Services,5464997.02,2857883.76,2607113.26,47.71,277498.0,1107255.38,1384753.38,1222359.88,22.37,108888.8,1113471.08,43427.44,1070043.64
2023-03-31,Division B,4840953.76,2468586.91,2372366.85,49.01,237676.66,995248.96,1232925.62,1139441.23,23.54,97191.78,1042249.45,,1003825.13
2023-01-31,Cloud Infrastructure,3786899.49,1512002.17,2274897.32,60.07,550609.19,699306.55,1249915.74,1024981.58,27.07,226467.51,798514.07,45303.46,753210.61
2023-01-31,Professional Services,4457079.78,2407251.83,2049827.95,,220686.48,889977.68,1110664.16,939163.79,21.07,90717.56,848446.23,,812557.33
2024-03-31,div_c,4439764.75,1950012.76,2489751.99,56.08,655387.38,809697.82,1465085.2,1024666.79,23.08,267782.25,756884.54,54013.13,702871.41
2024-07-31,div_c,5162871.82,2291885.15,2870986.67,55.61,754350.21,887994.33,1642344.54,1228642.13,,302543.41,926098.72,59853.39,866245.33
2023-12-31,Enterprise Software,9288369.05,3655896.92,5632472.13,60.64,,2073918.75,3715080.42,1917391.71,20.64,279047.94,1638343.77,96090.43,1542253.34
2023-09-30,Division B,5037249.7,2598964.48,2438285.22,48.41,258952.32,1010187.73,1269140.05,1169145.17,,101393.73,1067751.44,,1031584.33
2024-10-31,Division C,5227136.8,2144992.07,3082144.73,,811054.62,901870.42,1712925.04,1369219.69,26.19,314860.23,1054359.46,59462.2,994897.26
2024-05-31,Cloud Infrastructure,4963755.26,2039499.83,2924255.43,58.91,747976.54,,1655660.49,1268594.94,25.56,295726.62,972868.32,59030.13,913838.19
2024-02-29,Division B,5118493.71,2751504.15,2366989.56,46.24,252901.16,1033391.28,1286292.44,1080697.12,21.11,103604.31,977092.81,39455.23,937637.58
2023-06-30,Professional Services,5248882.81,2755301.97,2493580.84,47.51,,1063279.52,1331530.44,1162050.4,22.14,106589.86,1055460.54,42375.77,1013084.77
2024-08-31,Division B,5644958.15,2924849.53,2720108.62,48.19,,1130791.99,1415025.55,1305083.07,23.12,112899.26,1192183.81,43530.4,1148653.41
2024-09-30,Div C,5289652.64,2215806.29,3073846.35,58.11,780159.26,935158.95,1715318.21,1358528.14,25.68,312680.24,1045847.9,60657.08,985190.82
2023-02-28,Division A,6983323.56,2588484.08,4394839.48,62.93,1258658.25,1588285.66,2846943.91,1547895.57,22.17,,1337416.43,66832.88,1270583.55
2023-05-31,Cloud Infrastructure,4513041.5,1796877.61,2716163.89,60.18,686850.27,774036.18,1460886.45,1255277.44,27.81,270601.19,984676.25,50982.91,933693.34
2024-10-31,Division A,9195578.67,3646233.0,5549345.67,60.35,1676230.25,2009540.43,3685770.68,1863574.99,20.27,271809.89,1591765.1,87286.37,1504478.73
2023-03-31,Enterprise Software,8179004.71,3202134.25,4976870.46,60.85,1498086.3,1796685.96,3294772.26,1682098.2,,244916.54,1437181.66,79005.38,1358176.28
2024-12-31,Enterprise Software,9944272.45,3746877.18,6197395.27,62.32,1760866.25,2160479.13,3921345.38,2276049.89,,296502.12,1979547.77,98742.69,1880805.08
2024-09-30,Enterprise Software,9281811.85,3487339.58,5794472.27,62.43,1719621.7,1969175.03,3688796.73,2105675.54,22.69,276672.94,1829002.6,88517.97,1740484.63
2024-01-31,Cloud Infrastructure,4367449.03,1789424.54,2578024.49,59.03,666147.17,799209.23,1465356.4,1112668.09,25.48,268146.49,844521.6,51871.77,792649.83
2024-12-31,Division C,5344154.8,2286504.11,3057650.69,57.21,808483.36,,1764969.93,1292680.76,24.19,321703.14,970977.62,,905687.26
2024-03-31,Division A,8077838.48,3026294.54,5051543.94,62.54,1473360.47,1771873.84,3245234.31,1806309.63,22.36,241309.35,1565000.28,80456.41,1484543.87
2023-04-30,Div C,4196722.36,1712787.28,2483935.08,,614673.31,773139.88,1387813.19,1096121.89,,251323.28,844798.61,53309.91,791488.7
